category,Instrument,Statut,Cours de référence,Ouverture,Dernier cours,Quantité échangée,Volume,Variation en %,+ haut jour,+ bas jour,Meilleur prix à l'achat,Meilleur prix à la vente,Quantité Meilleur prix à l'achat,Quantité Meilleur prix à la vente,Capitalisation,Nombre de transactions,date,time,timestamp_iso
Electricité,TAQA MOROCCO,T,"2 380,00","2 390,00","2 350,00",2 164,"5 099 264,00","-1,26 %","2 469,00","2 350,00","2 326,00","2 495,00",10,4,"55 433 073 700,00",46,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Services de transport,SODEP-Marsa Maroc,T,"990,00","994,90","979,90",12 662,"12 421 959,00","-1,02 %","994,90","979,90","979,00","985,00",12,69,"71 920 348 440,00",105,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Sociétés de placement immobilier,ARADEI CAPITAL,T,"460,00","460,00","460,00",118,"54 211,20","0,00 %","460,00","459,00","458,50","460,00",74,209,"5 781 339 800,00",18,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Sociétés de placement immobilier,BALIMA,T,"236,00","231,00","231,00",3,"693,00","-2,12 %","231,00","231,00","230,00","250,00",17,500,"402 864 000,00",2,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Sociétés de placement immobilier,IMMORENTE INVEST,T,"90,00","90,00","89,97",1 329,"119 593,95","-0,03 %","90,20","89,80","89,64","90,90",200,208,"810 359 790,00",31,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Agroalimentaire et Production,CARTIER SAADA,T,"38,55","38,00","38,78",152,"5 779,78","0,60 %","39,00","38,00","37,51","38,77",500,578,"204 176 700,00",12,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Agroalimentaire et Production,COSUMAR,T,"210,00","216,00","210,00",8 182,"1 723 156,70","0,00 %","216,00","210,00","207,80","214,80",10,170,"19 842 300 030,00",49,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Agroalimentaire et Production,DARI COUSPATE,N.T,"4 000,00",-,"4 000,00",-,-,"0,00 %",-,-,"3 760,00",-,2,-,"1 193 500 000,00",-,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Agroalimentaire et Production,LESIEUR CRISTAL,T,"295,00","290,00","295,00",230,"67 700,00","0,00 %","295,00","290,00","290,00","299,35",723,14,"8 151 295 450,00",2,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
Agroalimentaire et Production,MUTANDIS SCA,T,"274,00","272,05","273,90",6 281,"1 698 229,85","-0,04 %","276,40","270,00","270,00","271,00",1 400,10,"2 532 681 264,30",118,2025-11-07,16:22:44,2025-11-07T16:22:44.687756+01:00
